Title;Artist;Transposition;Capo;Chords
Hey There Delilah;Plain White T's;0;0;2x(D F#m) Bm [A] G A Bm A / 2x(D Bm) [A] 2x(D Bm) D / 2x(G A D Bm) G A 2xBm A
How to Save a Life;The Fray;0;0;A# F Gm F / 2x(D# F Gm A#) F A#
Howl;Florence + The Machine;-7;0;Gm F D# / F D# / Gm F D# / Gm F D# / F Gm D# D
I Believe I Can Fly;R. Kelly;0;0;C Fm / Am Fm C G / C Am7 Dm G Am Fm C Fm Am
I Have Nothing;Whitney Houston;-7;0;C Am F [Dm F] G / 3x(Dm [Em Am]) F [Em] G / Ab Fm Gm Cm [A#] Ab Fm Gm Cm [Eb] Fm Gm Ab Gm 2xA# Eb Cm A# Ab G7
I Have Questions;Camila Cabello;-7;0;B C# D#m F# B C# D#m
I See Fire;Ed Sheeran;-6;0;Em G D C Em G D Am7 Em G D C Am7 G C / 4x(Em C D Em) Am7 / 3x(Am7 Em G D) Am7 G C D
I Wanna Dance With Somebody (Who Loves Me);Whitney Houston;-6;0;C 2x(G Am) F G C 2xF C G [F] G / 2x(C 2xAm F Dm) C / 2x(Am G) F G C F F C G F G
I Want It That Way;Backstreet Boys;0;0;3x(F#m D A) F#m E A / 2x(D E F#m) D E A F#m E A / F#m A D Bm E F#m A D E / E 2x(E F# G#m) E F# B G#m F# B
I Will Follow You Into The Dark;Death Cab for Cutie;0;0;F Dm A# F C / Dm F A# F C Dm F C Dm F A Dm A# A#m F
I Will Survive;Gloria Gaynor;5;0;Dm Gm C Fmaj7 A#maj7 Em7b5 Asus4 A
I'm On Fire;Bruce Springsteen;0;0;4xE A 2xC#m A B E / 2xA E C#m 4xE A 2xC#m A B E / A B E
I'm Outta Love;Anastacia;-5;0;2x(Fm C D# Bb) 2x(Fm C C# C) / 2x(Fm C D# Bb) Fm C C# C Fm / C#maj7 C A#m Gsus4 C
If I Ain't Got You;Alicia Keys;-5;0;Dmaj7 Bm7 Em7 A7 Dmaj7 D#dim Em7 A7 / Dmaj7 Em7 F#m7 Em7 Dmaj7 Em7 F#m7 / Gmaj7 F#m7 Em7 Dmaj7
If I Knew;Bruno Mars;-5;0;E A E D Dm A F#m Bm E A [D Dm] A / E A E D Dm A F#m Bm E A [D Dm] [A A7] / 2x(C# F#m) B D E
If The World Was Ending;JP Saxe feat. Julia Michaels;3;0;E C#m A B E C#m / C#m B E G#m A / A B E C#m
Inside;Melt;-5;0;Am G Dm F / 3x(Dm Em F Em) Dm Em F E 2x(Am G Dm F)
Into The West;Annie Lennox;-5;0;4x(G D Am Em) 3x(Em G C D) / G C G D / Em Bm Am D
Jealous;Labirinth;0;1;2x(C F Am) F G C F G Am / 2x(C Am Dm G7) F Am C F Dm F [G] Am
Jolene;Dolly Parton;-4;0;Am C G Am G Am
Lay It Down;Allen Stone;0;0;C#m B G#m7 F#m7 / A B / E G#7 A Am E B Am / Am D E Am D B
Let Me Love You;Mario;0;0;Cm7 Gm7 2xF / Cm7 Gm7 2xF / Abmaj7 Ebmaj7 Gbmaj7 Dbmaj7 Abmaj7 Ebmaj7 Gbmaj7 B
Locked Out Of Heaven;Bruno Mars;-5;0;[G] Am [G] F [Em] Dm / [G] Am [G] F [Em] Dm C E7 / F Dm C G / F Dm C G
Long Distance Call;Phoenix;0;0;C Am G F Am G / 2xDm F Dm 2xC 2xCmaj7 2xDm F Dm
Love on Top;Beyoncé;-7;0;F G Dm A# / A# 2xC Dm7 A# 2xC [A#] C / 2x(F G Dm A#) F / G Dm A# F G Dm A#
Love on the Brain;Rihanna;-5;0;D Em Bm A / C G D C G A / D Em Bm A
Make You Feel My Love;Adele;-3;0;G D F C Cm G [A7 D7] G / C G B7 2x(C G) A7 D7
My Heart Will Go On;Celine Dion;-4;0;C G F C G C G F G / 2x(Am G F G) C
My Immortal;Evanesence;-5;0;E G#m / 3x(C#m G#m) B / 3x(C#m A B G#m) C#m A B 2x(E G#m) / A C#m B A F#m G#m A B C#m
No Diggity;Blackstreet;0;0;Gm F C
No One;Alicia Keys;-7;0;A E F#m D E
No Tears Left To Cry;Ariana Grande;4;4;Am G F G
Nothing;Jeremy Passion;2;0;Bmaj7 Cdim7 C#m7 C#m7b5 / D#m7 D#m7/A# Amaj7
Older;Sasha Sloan;-3;0;A D F#m E / 3x(D E A [E] F#m) 2xD 2xA
Out of Reach;Gabrielle;-3;0;2x(A F#m E D) F#m7 E D E7 / A F#m E D / A F#m E D A F#m E7 D
Perfect;Ed Sheeran;0;1;G Em C D / G Em C G D G Em C D / 4x(Em C G D) G
Picture Of You;Boyzone;0;0;C Em Gm F C Em F Dm G / Am Em F G / C Em Bb F C Em Bb F G
Pompeii;Bastille;0;0;D A F#m E / D A F#m E / 2x(D A F#m E) 2x(D A E)
Private Dancer;Tina Turner;-7;0;Am [Em] F Am Em [F] G Am [Em] F [Am] G Dm7 / 2xC Am 2xG A# Bdim F#dim F Am / 4xD7 B E Am
Put Your Records On;Corinne Bailey Rae;-2;0;G A7 C G / Em B7 G A7 C B7 / 2x(G A7 C G) Cmaj7 Cmmaj7 / Am7 Em Am7 A7 Em
Ready or Not;The Fray;0;0;Fm Cm Db [Ab Cm]
Ride It;Jay Sean;-2;0;Am F G Am
Rock With You;Michael Jackson;0;0;2x(Eb9 Gb 2xAb) Gbmaj7 Fm7 Bmaj7 Gb / [Emb Fm7] Gbmaj7 [Emb Fm7 Gbmaj7 Gb] / Ebm9 Ab Bb Ebm9 Ab B Ebm9 Ab Bb 2x(Gb Ab) / 2xBbm7 2xEb9 Gbmaj7 Fm7 Bmaj7 Gb
Rojitas Las Orejas;Fito y Fitipaldis;0;0;Em C Dsus2 C / 2x(Am Asus4 Am) C Dsus2
